date,score,direction,adx_score,ma_score,rsi_score,bb_score,vix_score,vol_score,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,fwd_ret_60d
2020-12-31,44.0,bull,0,100.0,80,10,40,40,0.018266396002356355,0.0032427328082154094,0.0047363437685470355,0.05390740236035896
2021-01-04,38.0,bull,0,100.0,50,10,25,40,0.026741304281566958,0.026552095539595255,0.03395624000271269,0.07356545401983472
2021-01-05,45.5,bull,0,100.0,100,10,25,40,0.01994435847923315,0.0335376125295026,0.027720336013522084,0.07862114523217789
2021-01-06,45.5,bull,0,100.0,100,10,25,40,0.016461550817427062,0.027995266662545593,0.03297638327240571,0.08798231362288367
2021-01-07,44.0,bull,0,100.0,80,10,40,40,-0.0021688894274599635,0.009905891559122804,0.021830868215577448,0.07102124448759861
2021-01-08,44.0,bull,0,100.0,80,10,40,40,-0.014754157903199783,0.008021632222722896,0.02376935008284553,0.06674284491611049
2021-01-11,47.0,bull,0,100.0,100,10,40,40,-0.0001842808321654843,0.01316187933807722,0.029376664944870345,0.0783132495283907
2021-01-12,44.0,bull,0,100.0,80,10,40,40,0.013327446676147492,-0.013264246894315157,0.028593662269357667,0.08618613337697378
2021-01-13,44.0,bull,0,100.0,80,10,40,40,0.011346927816249908,-0.005895314385901296,0.027964374478736342,0.08350748040464961
2021-01-14,47.0,bull,0,100.0,100,10,40,40,0.012101026775617862,-0.021419889657706248,0.03669834532872018,0.09117274514985074
2021-01-15,47.0,bull,0,100.0,100,10,40,40,0.02311685992751933,0.001488783234094182,0.0436117794442048,0.09458240728454848
2021-01-19,47.0,bull,0,100.0,100,10,40,40,0.013348620065056549,0.007212633918228573,0.03485741148889154,0.09779384569805205
2021-01-20,44.0,bull,0,100.0,80,10,40,40,-0.026241955310385645,-0.005628509737292675,0.016127282077948335,0.08661295448400219
2021-01-21,44.0,bull,0,100.0,80,10,40,40,-0.01704879080354893,0.004845466483548666,0.013921338472042022,0.08050455656460542
2021-01-22,47.0,bull,0,100.0,100,10,40,40,-0.03312012886709159,0.011808007811544119,0.009118912698532267,0.07639522707225788
2021-01-25,44.0,bull,0,100.0,80,10,40,40,-0.021139400141404696,0.015622400707213435,0.006746454038250249,0.08249808204448517
2021-01-26,44.0,bull,0,100.0,80,10,40,40,-0.006055158141364925,0.016004141033599373,0.019692804002830133,0.07412675915922096
2021-01-27,31.5,bull,0,100.0,10,10,20,40,0.0211689604881915,0.042420586293673734,0.020947716855536314,0.1144831328254603
2021-01-28,37.5,bull,0,100.0,50,10,20,40,0.02227400208907193,0.03406048613856094,0.0062761117888174844,0.10567734073662094
2021-01-29,34.0,bull,0,100.0,10,10,20,65,0.046467134149760225,0.05939037016202753,0.05050295043351882,0.1272077802865832
2021-02-01,47.5,bull,30,100.0,50,10,20,65,0.037555705944164686,0.04206037742538027,0.025552068411592854,0.1084619081545668
2021-02-02,48.0,bull,0,100.0,100,10,25,65,0.02219368545010436,0.027446813750856114,-0.0017223089058933105,0.10066098940020418
2021-02-03,49.5,bull,0,100.0,100,10,40,65,0.020811076940022266,0.021878937628725836,-0.016108933136227743,0.09164084287627983
2021-02-04,49.5,bull,0,100.0,100,10,40,65,0.011529672108850253,0.0090321072157038,-0.007696810452997638,0.08288784030567053
2021-02-05,49.5,bull,0,100.0,100,10,40,65,0.012349395017328568,-0.002657712819281066,-0.01684662801115744,0.07147986213460222
2021-02-08,49.5,bull,0,100.0,100,10,40,65,0.004341618917816259,-0.008739416010106305,-0.010253919737038708,0.06435805337200917
2021-02-09,49.5,bull,0,100.0,100,10,40,65,0.005139073323896293,0.003630558991106314,-0.0031754516960190715,0.07424522162308334
2021-02-10,52.5,bull,0,100.0,100,30,40,65,0.001046090420476764,-0.020599045836656282,0.007534810777085399,0.08253967500699977
2021-02-11,52.5,bull,0,100.0,100,30,40,65,-0.0024690970141679758,-0.026869196456289712,0.006883960668995215,0.06946473557447153
2021-02-12,51.5,bull,0,100.0,80,30,60,65,-0.014824039911984,-0.008389183042271209,0.008668700453134726,0.055217128876574595
2021-02-16,49.5,bull,0,100.0,80,30,40,65,-0.013024487566309917,-0.015841988978195665,0.007659042100426783,0.03317150993528695
2021-02-17,49.5,bull,0,100.0,80,30,40,65,-0.0015008016033060123,-0.028389910082316505,0.010884366922176092,0.04608362011703848
2021-02-18,52.5,bull,0,100.0,100,30,40,65,-0.021622517149076814,-0.03717453150869776,0.00038068514718503366,0.06639808912648326
2021-02-19,52.5,bull,0,100.0,100,30,40,65,-0.02446049477674006,-0.01657917280240251,0.0016356823983976199,0.0656767665607374
2021-02-22,45.0,bull,0,100.0,50,30,40,65,0.006531682796175664,-0.01422672574326067,0.01653297765784223,0.06483427786018314
2021-02-23,45.0,bull,0,100.0,50,30,40,65,-0.0028546821845036874,-0.0015278562987306454,0.007510209401228707,0.060367873075586775
2021-02-24,52.5,bull,0,100.0,100,30,40,65,-0.026929524352334755,-0.006781390449058233,-0.009244857173474674,0.0595323797944356
2021-02-25,35.0,bull,0,100.0,10,30,25,40,-0.015895719834335797,0.028725576071931824,0.0209383156889551,0.08526789679066793
2021-02-26,35.0,bull,0,100.0,10,30,25,40,0.008078936764876365,0.03468511838528876,0.04287161116865801,0.1012555035178313
2021-03-01,47.0,bull,0,100.0,100,10,40,40,-0.020623701065990097,0.017202195865248404,0.017753258304495922,0.07337852833729253
2021-03-02,39.5,bull,0,100.0,50,10,40,40,0.001330624395529112,0.023879327115594373,0.022804494979659085,0.08415395022730499
2021-03-03,28.67,bull,0,83.33,10,10,25,40,0.020705729345930735,0.040421849682334976,0.04009977774543638,0.09978739672877435
2021-03-04,28.67,bull,0,83.33,10,10,25,40,0.04534204027519917,0.03900521733677231,0.06671146338933642,0.1156012641642048
2021-03-05,30.17,bull,0,83.33,10,10,40,40,0.026392954609087305,0.018521933537553714,0.06141948450572432,0.09372871599977284
